Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Total Strike Landed R4  Disp.,Total Strike Missed R4  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Total Strike Landed R5  Disp.,Total Strike Missed R5  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Brandon Moreno,Amir Albazi,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49. Sal D'amato 45 - 50. Derek Cleary 45 - 50.,Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,5,2,-5,0,0,2,-5,4,-1,-1,2,0,0,0,0,0,0,0,0,23,11,0,0,23,11,21,1,1,23,0,0,0,-1,0,0,0,-0.033333333,19,6,0,0,19,6,14,4,1,16,3,0,0,0,-1,0,0,0,-10,4,0,0,-10,4,-11,1,0,-9,-1,0,0,0,-1,0,0,0,23,-2,0,-1,23,-1,21,2,0,22,1,0,0,0,-1,0,0,-0.116666667
Erin Blanchfield,Rose Namajunas,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Junichiro Kamijo 47 - 48. Mike Bell 47 - 48. Derek Cleary 47 - 48.,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,5,-11,18,0,0,-11,18,-11,1,-1,-11,0,0,0,0,0,0,0,0,2,-1,0,-1,2,0,4,-3,1,3,-1,0,0,-1,2,0,0,0.116666667,38,22,36,17,2,5,0,0,2,3,-2,1,0,1,0,0,0,3.633333333,-12,39,-37,-4,25,43,16,4,5,31,-2,-4,0,-1,-1,0,0,-3.25,45,3,37,5,8,-2,7,1,0,2,2,4,0,1,0,0,0,4.133333333
Caio Machado,Brendson Ribeiro,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,6,3,0,0,6,3,-3,2,7,6,0,0,0,0,0,0,0,0,10,12,0,0,10,12,1,7,2,10,0,0,0,0,0,0,0,0,14,11,3,0,11,11,1,8,2,11,0,0,0,0,0,0,0,0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane da Silva,Jasmine Jasudavicius,0,1,Submission,3,2:28,3 Rnd (5-5-5),Luke Boutin,D'Arce Choke On Ground,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,7,-10,-7,-7,14,-3,7,8,-1,14,0,0,0,-1,0,0,0,-0.533333333,-73,-26,-65,-26,-8,0,-11,3,0,2,0,-10,0,-1,0,0,0,-3.7,-21,-2,-21,-7,0,5,1,-1,0,1,0,-1,0,-1,-2,-1,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Andre Barriault,Dustin Stoltzfus,0,1,KO/TKO,1,4:28,3 Rnd (5-5-5),Marc Goddard,Punch to Head In Clinch,Middleweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,1,-10,-5,-4,-2,-6,-3,-5,0,-1,-2,0,-4,-1,0,0,-1,0,-3.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Malott,Trevin Giles,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andy Social,Eric Colon 27 - 30. Thomas Collins 28 - 29. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,3,18,0,0,3,18,-2,4,1,3,0,0,0,0,0,0,0,0,11,11,0,0,11,11,0,6,5,11,0,0,0,0,1,0,0,0,11,-2,0,0,11,-2,1,6,4,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Pedro Munhoz,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30. Eric Colon 28 - 29. Mike Bell 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,4,-25,0,0,4,-25,1,4,-1,5,-1,0,0,0,1,0,0,0,20,-37,1,1,19,-38,21,1,-3,19,0,0,0,0,-3,0,0,-0.033333333,-9,-72,0,0,-9,-72,-6,-1,-2,-9,0,0,0,0,-3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Jourdain,Victor Henry,1,0,Submission,2,3:43,3 Rnd (5-5-5),Blake Grice,Guillotine Choke Standing,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,2,10,4,0,2,10,2,7,5,-2,5,6,-1,0,-2,0,0,0,-1.016666667,1,-3,-4,-5,5,2,4,-2,3,4,1,0,0,-2,0,1,0,-2.516666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Shore,Youssef Zalal,0,1,Submission,2,0:59,3 Rnd (5-5-5),Luke Boutin,Arm Triangle From Half Guard,Featherweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,2,-4,-1,-4,1,0,-2,4,-1,-3,-1,0,1,0,1,1,0,0,0.166666667,-7,-4,-2,-2,-5,-2,-5,0,0,-3,0,-2,-1,0,0,-1,0,-0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandr Romanov,Rodrigo Nascimento,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Jason Tatlow 27 - 30. Thomas Collins 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,28,4,27,1,1,3,2,-1,0,-1,0,2,0,4,1,1,0,4.783333333,2,21,-14,0,7,-13,7,-1,1,6,1,0,0,2,2,0,0,2.766666667,9,-3,3,0,6,-3,9,-2,-1,4,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
