Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Rounds,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Brandon Moreno,Amir Albazi,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49. Sal D'amato 45 - 50. Derek Cleary 45 - 50.,Flyweight Bout,0,0,2,-5,4,-1,-1,2,0,0,0,0,0,0,0,0,0,0,23,11,21,1,1,23,0,0,0,-1,0,0,0,-0.033333333,0,0,19,6,14,4,1,16,3,0,0,0,-1,0,0,0,0,0,-10,4,-11,1,0,-9,-1,0,0,0,-1,0,0,0,0,-1,23,-1,21,2,0,22,1,0,0,0,-1,0,0,-0.116666667
Erin Blanchfield,Rose Namajunas,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Junichiro Kamijo 47 - 48. Mike Bell 47 - 48. Derek Cleary 47 - 48.,Women's Flyweight Bout,0,0,-11,18,-11,1,-1,-11,0,0,0,0,0,0,0,0,0,-1,2,0,4,-3,1,3,-1,0,0,-1,2,0,0,0.116666667,36,17,2,5,0,0,2,3,-2,1,0,1,0,0,0,3.633333333,-37,-4,25,43,16,4,5,31,-2,-4,0,-1,-1,0,0,-3.25,37,5,8,-2,7,1,0,2,2,4,0,1,0,0,0,4.133333333
Brandon Royval,Tatsuro Taira,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Lee 47 - 48. Sal D'amato 48 - 47. Ron McCarthy 47 - 48.,Flyweight Bout,-1,-1,7,26,6,3,-2,6,1,0,0,-1,-2,0,0,-0.733333333,-16,-3,-2,9,-3,1,0,-2,0,0,0,-2,0,0,0,-4.166666667,23,2,51,6,49,2,0,27,9,15,0,2,-4,0,0,-0.8,-13,-5,-38,-25,-39,1,0,-36,-1,-1,0,-1,0,-2,-2,-1.433333333,13,5,29,9,31,-2,0,27,1,1,0,-1,-1,2,2,0.35
Raquel Pennington,Julianna Pena,0,1,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Sal D'amato 47 - 48. Derek Cleary 48 - 47. Mike Bell 47 - 48.,UFC Women's Bantamweight Title Bout,0,0,-8,9,-12,2,2,-8,0,0,0,0,0,0,0,0,5,0,0,8,-4,3,1,-2,2,0,0,-1,-1,0,0,-3,-14,-1,-10,11,-9,0,-1,-8,-2,0,0,-1,0,-1,0,-2.333333333,0,0,-9,-22,-14,4,1,-9,0,0,1,0,0,0,0,0.183333333,0,-1,8,22,2,5,1,7,1,0,0,0,0,0,0,0.183333333
Sean O'Malley,Merab Dvalishvili,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 46 - 49. Sal D'amato 47 - 48. Chris Lee 47 - 48.,UFC Bantamweight Title Bout,-9,-2,-2,0,-7,5,0,7,-3,-6,0,-2,-1,0,0,-1.333333333,-46,-7,-13,-15,-11,1,-3,4,0,-17,0,-1,0,0,0,-3.2,-8,0,-6,-11,1,2,-9,0,-5,-1,0,0,-5,0,0,-0.866666667,1,0,-5,-7,2,-7,0,-6,0,1,0,0,0,0,0,0,-15,-1,1,-6,0,9,-8,6,0,-5,0,-2,-3,0,0,-1.033333333
Alexa Grasso,Valentina Shevchenko,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Ben Cartlidge 45 - 50. Eric Colon 45 - 50. Ron McCarthy 45 - 50.,UFC Women's Flyweight Title Bout,-14,1,-8,9,-7,0,-1,-7,0,-1,0,-1,0,0,0,-3.466666667,13,2,-1,6,-2,1,0,-2,0,1,0,-2,0,1,0,-3.95,-3,-1,-11,20,-11,-2,2,-7,-1,-3,0,-1,-1,0,0,-2.333333333,-24,-4,-7,-2,-2,-1,-4,-6,-1,0,0,-1,-3,1,0,-0.016666667,32,4,-6,4,-9,1,2,-6,0,0,0,-2,0,0,0,-1.966666667
Gilbert Burns,Sean Brady,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 45 - 50. Bryan Miner 45 - 50. David Lethaby 46 - 49.,Welterweight Bout,-34,-2,-17,-11,-15,2,-4,-18,1,0,0,-1,-2,0,0,-1.583333333,-22,-1,-25,-9,-19,-3,-3,-23,-2,0,0,1,-2,0,0,-0.683333333,-46,-1,-2,-9,-7,5,0,-6,4,0,0,-1,1,0,0,-1.966666667,-6,0,-2,-2,1,-3,0,-3,1,0,0,0,1,0,0,0.833333333,4,-3,-22,-7,-19,3,-6,-21,0,-1,0,-3,-1,0,0,-2.65
Jared Cannonier,Caio Borralho,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Sal D'amato 45 - 49. Ron McCarthy 45 - 49. Chris Lee 46 - 48.,Middleweight Bout,0,0,-3,5,-3,-2,2,-3,0,0,0,0,0,0,0,0,0,0,5,22,4,2,-1,4,1,0,0,0,0,0,0,0,0,0,-22,22,-10,-10,-2,-21,-1,0,0,0,0,0,0,-0.083333333,0,0,8,0,1,3,4,8,0,0,0,0,0,0,0,0,-3,0,-39,12,-32,-4,-3,-16,-1,-22,-1,0,-1,-1,0,-1.9
Cory Sandhagen,Umar Nurmagomedov,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 45 - 50. Ben Cartlidge 46 - 49. David Lethaby 46 - 49.,Bantamweight Bout,0,2,2,4,-4,1,5,2,0,0,0,-1,-3,0,0,-0.65,4,0,-8,-2,-5,-3,0,-7,-1,0,0,-1,-2,0,0,-0.716666667,-3,0,-5,8,0,-5,0,-5,0,0,0,-1,-1,0,0,-0.416666667,-5,-2,14,29,8,6,0,14,0,0,0,0,-2,0,0,0,-15,-5,-6,-9,-3,-4,1,-6,0,0,0,-1,1,0,0,-2.6
Leon Edwards,Belal Muhammad,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Ben Cartlidge 47 - 48. Derek Cleary 47 - 48. Clemens Werner 46 - 49.,UFC Welterweight Title Bout,-24,-7,-2,-11,-7,4,1,-6,5,-1,0,-2,0,0,0,-0.916666667,-8,-3,-2,-4,-5,2,1,0,1,-3,0,-3,-1,0,0,-2.6,12,0,-2,-3,-2,-1,1,-2,0,0,0,0,0,0,0,4.05,-1,0,-7,-3,-6,-1,0,-1,0,-6,0,0,0,0,0,-0.233333333,-25,-14,0,-6,0,0,0,-6,0,6,0,-1,-2,0,1,-2.6
